АВС/ DEFОт;АВС/ DEFДо;Оператор;Регион
9019340000;9019349999;Астарта;Приморский край
9019350000;9019359999;Астарта;Магаданская область
9019370000;9019379999;Астарта;Сахалинская область
9019380000;9019389999;Астарта;Приморский край
9019390000;9019399999;Арктик Регион Связь;Ук |Нижнеудинский |Иркутская область
9019400000;9019409999;Ростелеком;Самарская область
9019410000;9019419999;Астарта;Волгоградская область
9019420000;9019439999;Ростелеком;Самарская область
9019440000;9019449999;Астарта;Астраханская область
9019460000;9019469999;Стелс;Казань |Республика Татарстан (Татарстан)
9019470000;9019479999;Астарта;Ульяновская область
9019490000;9019499999;Уралвестком;Свердловская область
9019500000;9019509999;Уралвестком;Свердловская область
9019510000;9019519999;Курганский Сотовый Телефон;Курган |Курганская область
9019520000;9019529999;Сот.св.Башкортостана;Республика Адыгея
9019530000;9019539999;МТТ Инвест;Оренбург |Оренбургская область
9019560000;9019569999;Астарта;Омская область
9019570000;9019579999;Удмурт.сот.сети-450;Ис |Нижняя Тура |Свердловская область
9019580000;9019589999;АПЕКС;Челябинская область
9019590000;9019599999;Региональный технический центр;Ханты - Мансийский-Югра автономный округ |Тюменская область
9019600000;9019609999;Регион. технич.центр;Нижневартовск |Тюменская область
9019610000;9019619999;Дельта Телеком;Республика Коми
9019620000;9019629999;Дельта Телеком;Республика Карелия
9019630000;9019639999;Калининградские Мобильные Сети;Калининградская область
9019640000;9019649999;Дельта Телеком;Новгородская область
9019650000;9019659999;Дельта Телеком;Вологодская область
9019670000;9019679999;Дельта Телеком;Псковская область
9019680000;9019689999;Дельта Телеком;Мурманская область
9019690000;9019699999;Дельта Телеком;Вологодская область
9019700000;9019799999;Дельта Телеком;Санкт - Петербург и Ленинградская область
9019810000;9019819999;Астарта;Рязанская область
9019820000;9019829999;Московская сотовая связь;Москва и Московская область
9019830000;9019839999;Московская сотовая связь;Москва и Московская область
9019840000;9019849999;Астарта;Орловская область
9019850000;9019859999;Ростелеком;Ярославская область
9019860000;9019869999;Ростелеком;Ярославская область
9019870000;9019879999;Астарта;Смоленская область
9019880000;9019889999;Астарта;Тверская область
9019890000;9019899999;Астарта;Тамбовская область
9019900000;9019909999;Астарта;Белгородская область
9019910000;9019919999;Бpянские сотов.сети;Брянск |Брянская область
9019920000;9019929999;Астарта;Владимирская область
9019930000;9019939999;Астарта;Воронежская область
9019940000;9019949999;Ростелеком;Ярославская область
9019950000;9019959999;Астарта;Калужская область
9019960000;9019969999;Астарта;Курская область
9019970000;9019979999;Ростелеком;Ярославская область
9019980000;9019989999;Тульская сотовая радиотелефонная связь;Тульская область
9019990000;9019999999;Ростелеком;Ярославская область
9020;90299999;Нижегородская сотовая связь;Ульяновская область
902100000;902149999;Енисейтелеком;Республика Хакасия
902150000;902199999;Ростелеком;Республика Марий Эл
902200000;902399999;Сибирьтелеком;Республика Бурятия
902400000;902499999;Нижегородская сотовая связь;Саратовская область
902500000;902799999;Новая телефонная компания;Приморский край
902800000;902899999;Пенза-GSM;Пензенская область
902900000;902999999;Волгоград-GSM;Волгоградская область
9021000000;9021099999;Ростелеком;Республика Марий Эл
9021100000;9021199999;Астрахань GSM;Астраханская область
9021200000;9021239999;Нижегородская сотовая связь;Ульяновская область
9021240000;9021249999;Ростелеком;Республика Марий Эл
9021250000;9021299999;Нижегородская сотовая связь;Ульяновская область
9021300000;9021399999;Мурманская Мобильная Сеть;Мурманская область
9021400000;9021469999;Енисейтелеком;Алтайский край
9021470000;9021499999;Новгородские телекоммуникации;Новгородская область
9021500000;9021519999;Ростелеком;Свердловская область
9021550000;9021569999;Ростелеком;Свердловская область
9021600000;9021699999;Байкалвестком;Республика Бурятия
9021700000;9021799999;Байкалвестком;Иркутская область
9021880000;9021889999;Ростелеком;Свердловская область
9021900000;9021999999;Архангельские Мобильные Сети;Архангельская область
9022000000;9022009999;Пенза-GSM;Пензенская область
9022010000;9022019999;Облком;Российская Федерация
9022020000;9022029999;Облком;Российская Федерация
9022030000;9022059999;Пенза-GSM;Пензенская область
9022060000;9022099999;Пенза-GSM;Пензенская область
